"","date","peak_perday","offpeak_perday","totalusage_perday","PVgen_perday","feedin_perday","PVhours_perday","PVefficiency","feedinefficiency","month","year","season"
"47",2013-04-30,6.56666666666667,6.46666666666667,13.0333333333333,2.6,1.73333333333333,10.1666666666667,0.255737704918033,0.170491803278689,"4","2013","Autumn"
"48",2013-06-01,9.28125,7.90625,17.1875,1.625,0.96875,9.125,0.178082191780822,0.106164383561644,"5","2013","Autumn"
"49",2013-06-29,12.1785714285714,8.39285714285714,20.5714285714286,0.964285714285714,0.464285714285714,8.78571428571429,0.109756097560976,0.0528455284552845,"6","2013","Winter"
"50",2013-07-31,14.90625,9.3125,24.21875,1.03125,0.46875,8.9375,0.115384615384615,0.0524475524475524,"7","2013","Winter"
"51",2013-08-31,14.8709677419355,10.0645161290323,24.9354838709677,1.67741935483871,0.935483870967742,9.12903225806452,0.183745583038869,0.102473498233216,"8","2013","Winter"
"52",2013-10-01,8.83870967741935,7.09677419354839,15.9354838709677,2.74193548387097,1.74193548387097,10.6451612903226,0.257575757575758,0.163636363636364,"9","2013","Spring"
"53",2013-10-31,7.8,6.8,14.6,3.53333333333333,2.2,12,0.294444444444444,0.183333333333333,"10","2013","Spring"
"54",2013-11-29,4.24137931034483,3.41379310344828,7.6551724137931,4,2.86206896551724,12.7931034482759,0.31266846361186,0.223719676549865,"11","2013","Spring"
"55",2013-12-31,4.09375,0.8125,4.90625,3.84375,1.75,13.28125,0.289411764705882,0.131764705882353,"12","2013","Summer"
"56",2014-01-31,6.93548387096774,2.35483870967742,9.29032258064516,4.19354838709677,3.12903225806452,13.0645161290323,0.320987654320988,0.239506172839506,"1","2014","Summer"
"57",2014-02-28,5.46428571428571,1.35714285714286,6.82142857142857,3.92857142857143,2.42857142857143,12.3214285714286,0.318840579710145,0.197101449275362,"2","2014","Summer"
"58",2014-03-30,4.53333333333333,1.8,6.33333333333333,3.86666666666667,2.36666666666667,10.7,0.361370716510903,0.221183800623053,"3","2014","Autumn"
"59",2014-04-30,4.35483870967742,3.19354838709677,7.54838709677419,2.64516129032258,1.67741935483871,10.9032258064516,0.242603550295858,0.153846153846154,"4","2014","Autumn"
"60",2014-05-28,7.85714285714286,4.75,12.6071428571429,1.67857142857143,0.821428571428571,9.25,0.181467181467181,0.0888030888030888,"5","2014","Autumn"
"61",2014-06-30,12.030303030303,8.81818181818182,20.8484848484849,0.878787878787879,0.242424242424242,8.60606060606061,0.102112676056338,0.028169014084507,"6","2014","Winter"
"62",2014-08-01,13.09375,22.625,35.71875,1,0.3125,8.78125,0.113879003558719,0.0355871886120996,"7","2014","Winter"
"63",2014-08-31,11.4,17.0666666666667,28.4666666666667,2.66666666666667,1.6,9.93333333333333,0.268456375838926,0.161073825503356,"8","2014","Winter"
"64",2014-09-30,5.9,6.83333333333333,12.7333333333333,3.33333333333333,2.23333333333333,10.9,0.305810397553517,0.204892966360856,"9","2014","Spring"
"65",2014-10-31,4.38709677419355,2.96774193548387,7.35483870967742,4.09677419354839,2.90322580645161,11.9677419354839,0.342318059299191,0.242587601078167,"10","2014","Spring"
"66",2014-11-30,4.03333333333333,0.966666666666667,5,3.96666666666667,2.53333333333333,14,0.283333333333333,0.180952380952381,"11","2014","Spring"
"67",2015-01-01,2.8125,0.59375,3.40625,3.75,2.6875,12.28125,0.305343511450382,0.21882951653944,"12","2014","Summer"
"68",2015-01-30,6.10344827586207,2.17241379310345,8.27586206896552,3.62068965517241,1.96551724137931,12.9310344827586,0.28,0.152,"1","2015","Summer"
"69",2015-02-28,4.58620689655172,0.379310344827586,4.96551724137931,4.24137931034483,2.6551724137931,12.5172413793103,0.338842975206612,0.212121212121212,"2","2015","Summer"
"70",2015-03-31,4.25806451612903,1.80645161290323,6.06451612903226,3.80645161290323,2.70967741935484,11.3225806451613,0.336182336182336,0.239316239316239,"3","2015","Autumn"
"71",2015-04-29,7,7.55172413793103,14.551724137931,2.31034482758621,1.41379310344828,10.2413793103448,0.225589225589226,0.138047138047138,"4","2015","Autumn"
"72",2015-05-27,7.14285714285714,8.71428571428571,15.8571428571429,1.57142857142857,0.928571428571429,8.32142857142857,0.188841201716738,0.111587982832618,"5","2015","Autumn"
"73",2015-06-29,8.81818181818182,8.75757575757576,17.5757575757576,1.3030303030303,0.757575757575758,9.45454545454546,0.137820512820513,0.0801282051282051,"6","2015","Winter"
"74",2015-07-31,16.21875,16.84375,33.0625,1.25,0.5,9.25,0.135135135135135,0.0540540540540541,"7","2015","Winter"
"75",2015-08-30,13.1333333333333,13.6666666666667,26.8,1.76666666666667,1,9.76666666666667,0.180887372013652,0.102389078498294,"8","2015","Winter"
"76",2015-10-01,9.5625,9.6875,19.25,3.46875,2.40625,10.90625,0.318051575931232,0.220630372492837,"9","2015","Spring"
"77",2015-10-31,4.5,2.7,7.2,4.03333333333333,2.86666666666667,11.9333333333333,0.337988826815642,0.240223463687151,"10","2015","Spring"
"78",2015-11-30,3.9,1.53333333333333,5.43333333333333,3.8,2.56666666666667,12.8666666666667,0.295336787564767,0.199481865284974,"11","2015","Spring"
"79",2015-12-27,4.81481481481481,0.37037037037037,5.18518518518519,3.92592592592593,2.55555555555556,13.3703703703704,0.293628808864266,0.191135734072022,"12","2015","Summer"
"80",2016-01-31,4.34285714285714,0.2,4.54285714285714,3.88571428571429,2.57142857142857,13.1428571428571,0.295652173913043,0.195652173913043,"1","2016","Summer"
"81",2016-02-29,4.06896551724138,0.379310344827586,4.44827586206897,4,2.72413793103448,12.2413793103448,0.326760563380282,0.222535211267606,"2","2016","Summer"
"82",2016-03-31,4.67741935483871,2.58064516129032,7.25806451612903,3.35483870967742,2.25806451612903,11.2903225806452,0.297142857142857,0.2,"3","2016","Autumn"
"83",2016-04-29,5.03448275862069,2.79310344827586,7.82758620689655,2.58620689655172,1.72413793103448,10.3103448275862,0.250836120401338,0.167224080267559,"4","2016","Autumn"
"84",2016-05-30,6.19354838709677,4.74193548387097,10.9354838709677,1.41935483870968,0.806451612903226,8.96774193548387,0.158273381294964,0.0899280575539568,"5","2016","Autumn"
"85",2016-07-02,10.4545454545455,13.5151515151515,23.969696969697,0.878787878787879,0.393939393939394,8.54545454545454,0.102836879432624,0.0460992907801418,"6","2016","Winter"
"86",2016-08-01,12.8333333333333,15.9666666666667,28.8,1.1,0.4,8.86666666666667,0.12406015037594,0.0451127819548872,"7","2016","Winter"
"87",2016-08-31,9.03333333333333,10,19.0333333333333,2.1,1.26666666666667,9.76666666666667,0.215017064846416,0.129692832764505,"8","2016","Winter"
"88",2016-09-30,8.03333333333333,8.53333333333333,16.5666666666667,2.33333333333333,1.36666666666667,10.6333333333333,0.219435736677116,0.128526645768025,"9","2016","Spring"
"89",2016-10-30,5.73333333333333,4.66666666666667,10.4,3.53333333333333,2.36666666666667,11.7333333333333,0.301136363636364,0.201704545454545,"10","2016","Spring"
"90",2016-11-30,4.7741935483871,1,5.7741935483871,3.93548387096774,2.61290322580645,12.8387096774194,0.306532663316583,0.203517587939698,"11","2016","Spring"
"91",2016-12-31,3.25806451612903,0.483870967741935,3.74193548387097,3.64516129032258,2.51612903225806,13.1612903225806,0.276960784313725,0.191176470588235,"12","2016","Summer"
"92",2017-01-31,4.03225806451613,0.806451612903226,4.83870967741935,4.03225806451613,2.67741935483871,13.1290322580645,0.307125307125307,0.203931203931204,"1","2017","Summer"
"93",2017-02-28,4.25,0.214285714285714,4.46428571428571,3.82142857142857,2.57142857142857,12.2142857142857,0.312865497076023,0.210526315789474,"2","2017","Summer"
"94",2017-03-31,4.19354838709677,0.612903225806452,4.80645161290323,3.38709677419355,2.35483870967742,11.258064516129,0.300859598853868,0.209169054441261,"3","2017","Autumn"
"95",2017-04-30,4.26666666666667,2.66666666666667,6.93333333333333,2.36666666666667,1.6,10.1333333333333,0.233552631578947,0.157894736842105,"4","2017","Autumn"
"96",2017-05-28,6.53571428571429,8.07142857142857,14.6071428571429,1.71428571428571,1.10714285714286,9.21428571428571,0.186046511627907,0.12015503875969,"5","2017","Autumn"
"97",2017-07-01,7.85294117647059,12.8235294117647,20.6764705882353,1.20588235294118,0.617647058823529,8.79411764705882,0.137123745819398,0.0702341137123746,"6","2017","Winter"
"98",2017-07-31,9.9,14.0333333333333,23.9333333333333,1.06666666666667,0.5,8.63333333333333,0.123552123552124,0.0579150579150579,"7","2017","Winter"
"99",2017-08-28,8.78571428571429,11.6071428571429,20.3928571428571,1.64285714285714,1,9.5,0.172932330827068,0.105263157894737,"8","2017","Winter"
"100",2017-09-30,6.87878787878788,6.33333333333333,13.2121212121212,2.84848484848485,1.93939393939394,10.7272727272727,0.265536723163842,0.180790960451977,"9","2017","Spring"
"101",2017-10-31,5.12903225806452,3.16129032258065,8.29032258064516,3.54838709677419,2.41935483870968,11.6774193548387,0.303867403314917,0.207182320441989,"10","2017","Spring"
"102",2017-11-30,4.06666666666667,0.466666666666667,4.53333333333333,3.36666666666667,2.2,12.6666666666667,0.265789473684211,0.173684210526316,"11","2017","Spring"
"103",2017-12-31,3.93548387096774,1.35483870967742,5.29032258064516,3.51612903225806,2.09677419354839,13.1935483870968,0.266503667481663,0.158924205378973,"12","2017","Summer"
"104",2018-01-31,4.61290322580645,0.870967741935484,5.48387096774194,3.7741935483871,2.38709677419355,12.9354838709677,0.291770573566085,0.184538653366584,"1","2018","Summer"
"105",2018-02-27,4.62962962962963,0.518518518518518,5.14814814814815,3.66666666666667,2.37037037037037,12.2962962962963,0.298192771084337,0.192771084337349,"2","2018","Summer"
"106",2018-03-29,4.33333333333333,1.76666666666667,6.1,3.73333333333333,2.6,11.3,0.330383480825959,0.230088495575221,"3","2018","Autumn"
"107",2018-04-30,4.8125,3.625,8.4375,2.90625,1.96875,10.09375,0.287925696594427,0.195046439628483,"4","2018","Autumn"
"108",2018-06-02,6.66666666666667,7.06060606060606,13.7272727272727,1.36363636363636,0.696969696969697,9.09090909090909,0.15,0.0766666666666667,"5","2018","Autumn"
